Date,Open,High,Low,Close,Adj Close,Volume
3/20/25,5646.92,5711.15,5632.33,5672.83,5672.83,1257423003
3/19/25,5632.37,5715.33,5622.20,5675.29,5675.29,4660090000
3/18/25,5654.53,5654.53,5597.76,5614.66,5614.66,4666270000
3/17/25,5635.60,5703.52,5631.12,5675.12,5675.12,5031770000
3/14/25,5563.85,5645.27,5563.85,5638.94,5638.94,4863180000
3/13/25,5594.45,5597.78,5504.65,5521.52,5521.52,5018980000
3/12/25,5624.84,5642.19,5546.09,5599.30,5599.30,5219830000
3/11/25,5603.65,5636.30,5528.41,5572.07,5572.07,6221240000
3/10/25,5705.37,5705.37,5564.02,5614.56,5614.56,6409370000
3/7/25,5726.01,5783.01,5666.29,5770.20,5770.20,5705140000
3/6/25,5785.87,5812.08,5711.64,5738.52,5738.52,5165080000
3/5/25,5781.36,5860.59,5742.35,5842.63,5842.63,5285970000
3/4/25,5811.98,5865.08,5732.59,5778.15,5778.15,6138110000
3/3/25,5968.33,5986.09,5810.91,5849.72,5849.72,5613850000
2/28/25,5856.74,5959.40,5837.66,5954.50,5954.50,6441140000
2/27/25,5981.88,5993.69,5858.78,5861.57,5861.57,5057680000
2/26/25,5970.87,6009.82,5932.69,5956.06,5956.06,4869580000
2/25/25,5982.73,5992.65,5908.49,5955.25,5955.25,5374690000
2/24/25,6026.69,6043.65,5977.83,5983.25,5983.25,4990120000
2/21/25,6114.10,6114.82,6008.56,6013.13,6013.13,5434560000
2/20/25,6134.50,6134.50,6084.59,6117.52,6117.52,4813690000
2/19/25,6117.76,6147.43,6111.15,6144.15,6144.15,4562330000
2/18/25,6121.60,6129.63,6099.51,6129.58,6129.58,4684980000
2/14/25,6115.52,6127.47,6107.62,6114.63,6114.63,4335190000
2/13/25,6060.59,6116.91,6050.95,6115.07,6115.07,4763800000
2/12/25,6025.08,6063.00,6003.00,6051.97,6051.97,4627960000
2/11/25,6049.32,6076.28,6042.34,6068.50,6068.50,4324880000
2/10/25,6046.40,6073.38,6044.84,6066.44,6066.44,4458760000
2/7/25,6083.13,6101.28,6019.96,6025.99,6025.99,4766900000
2/6/25,6072.22,6084.03,6046.83,6083.57,6083.57,4847120000
2/5/25,6020.45,6062.86,6007.06,6061.48,6061.48,4756250000
2/4/25,5998.14,6042.48,5990.87,6037.88,6037.88,4410160000
2/3/25,5969.65,6022.13,5923.93,5994.57,5994.57,4797210000
1/31/25,6096.79,6120.91,6030.93,6040.53,6040.53,4843770000
1/30/25,6050.75,6086.64,6027.46,6071.17,6071.17,4634620000
1/29/25,6057.70,6062.83,6012.96,6039.31,6039.31,4115310000
1/28/25,6026.97,6074.54,5994.63,6067.70,6067.70,4473640000
1/27/25,5969.04,6017.17,5962.92,6012.28,6012.28,5198750000
1/24/25,6121.43,6128.18,6088.74,6101.24,6101.24,4214250000
1/23/25,6076.32,6118.73,6074.67,6118.71,6118.71,4432250000
1/22/25,6081.39,6100.81,6076.13,6086.37,6086.37,4323040000
1/21/25,6014.12,6051.51,6006.88,6049.24,6049.24,4702920000
1/17/25,5995.40,6014.96,5978.44,5996.66,5996.66,4366830000
1/16/25,5963.61,5964.69,5930.72,5937.34,5937.34,4285810000
1/15/25,5905.21,5960.61,5905.21,5949.91,5949.91,4544570000
1/14/25,5859.27,5871.92,5805.42,5842.91,5842.91,4142280000
1/13/25,5782.02,5838.61,5773.31,5836.22,5836.22,4421200000
1/10/25,5890.35,5890.35,5807.78,5827.04,5827.04,4751930000
1/8/25,5910.66,5927.89,5874.78,5918.25,5918.25,4441740000
1/7/25,5993.26,6000.68,5890.68,5909.03,5909.03,4517330000
1/6/25,5982.81,6021.04,5960.01,5975.38,5975.38,4940120000
1/3/25,5891.07,5949.34,5888.66,5942.47,5942.47,3667340000
1/2/25,5903.26,5935.09,5829.53,5868.55,5868.55,3621680000
12/31/24,5919.74,5929.74,5868.86,5881.63,5881.63,3128350000
12/30/24,5920.67,5940.79,5869.16,5906.94,5906.94,3433250000
12/27/24,6006.17,6006.17,5932.95,5970.84,5970.84,3159610000
12/26/24,6024.97,6049.75,6007.37,6037.59,6037.59,2904530000
12/24/24,5984.63,6040.10,5981.44,6040.04,6040.04,1757720000
12/23/24,5940.25,5978.25,5902.57,5974.07,5974.07,3593280000
12/20/24,5842.00,5982.06,5832.30,5930.85,5930.85,8223220000
12/19/24,5912.71,5935.52,5866.07,5867.08,5867.08,4896880000
12/18/24,6047.65,6070.67,5867.79,5872.16,5872.16,5246960000
12/17/24,6052.55,6057.68,6035.19,6050.61,6050.61,4544500000
12/16/24,6063.79,6085.19,6059.14,6074.08,6074.08,4391100000
12/13/24,6068.17,6078.58,6035.77,6051.09,6051.09,3584960000
12/12/24,6074.29,6079.68,6051.25,6051.25,6051.25,3678010000
12/11/24,6060.15,6092.59,6060.15,6084.19,6084.19,4269950000
12/10/24,6057.59,6065.40,6029.89,6034.91,6034.91,4048410000
12/9/24,6083.01,6088.51,6048.63,6052.85,6052.85,4556460000
12/6/24,6081.38,6099.97,6079.98,6090.27,6090.27,3924830000
12/5/24,6089.03,6094.55,6072.90,6075.11,6075.11,4212020000
12/4/24,6069.39,6089.84,6061.06,6086.49,6086.49,4003390000
12/3/24,6042.97,6052.07,6033.39,6049.88,6049.88,4095000000
12/2/24,6040.11,6053.58,6035.33,6047.15,6047.15,4412470000
11/29/24,6003.98,6044.17,6003.98,6032.38,6032.38,2444420000
11/27/24,6014.11,6020.16,5984.87,5998.74,5998.74,3363340000
11/26/24,6000.03,6025.42,5992.27,6021.63,6021.63,3835170000
11/25/24,5992.28,6020.75,5963.91,5987.37,5987.37,5633150000
11/22/24,5944.36,5972.90,5944.36,5969.34,5969.34,4141420000
11/21/24,5940.58,5963.32,5887.26,5948.71,5948.71,4230120000
11/20/24,5914.34,5920.67,5860.56,5917.11,5917.11,3772620000
11/19/24,5870.05,5923.51,5855.29,5916.98,5916.98,4036940000
11/18/24,5874.17,5908.12,5865.95,5893.62,5893.62,3983860000
11/15/24,5912.79,5915.32,5853.01,5870.62,5870.62,4590960000
11/14/24,5989.68,5993.88,5942.28,5949.17,5949.17,4184570000
11/13/24,5985.75,6008.19,5965.91,5985.38,5985.38,4220180000
11/12/24,6003.60,6009.92,5960.08,5983.99,5983.99,4243400000
11/11/24,6008.86,6017.31,5986.69,6001.35,6001.35,4333000000
11/8/24,5976.76,6012.45,5976.76,5995.54,5995.54,4666740000
11/7/24,5947.21,5983.84,5947.21,5973.10,5973.10,4925740000
11/6/24,5864.89,5936.14,5864.89,5929.04,5929.04,6329530000
11/5/24,5722.43,5783.44,5722.10,5782.76,5782.76,3768310000
11/4/24,5725.15,5741.43,5696.51,5712.69,5712.69,3602060000
11/1/24,5723.22,5772.52,5723.22,5728.80,5728.80,3796450000
10/31/24,5775.34,5775.34,5702.86,5705.45,5705.45,4425660000
10/30/24,5832.65,5850.94,5811.28,5813.67,5813.67,3851120000
10/29/24,5819.68,5847.19,5802.17,5832.92,5832.92,3879100000
10/28/24,5833.93,5842.92,5823.08,5823.52,5823.52,3691280000
10/25/24,5826.75,5862.82,5799.98,5808.12,5808.12,3501280000
10/24/24,5817.80,5817.80,5784.92,5809.86,5809.86,3543030000
10/23/24,5834.50,5834.85,5762.41,5797.42,5797.42,3532650000
10/22/24,5832.70,5863.04,5821.17,5851.20,5851.20,3342080000
10/21/24,5857.82,5866.92,5824.79,5853.98,5853.98,3407010000
10/18/24,5859.43,5872.17,5846.11,5864.67,5864.67,3374490000
10/17/24,5875.62,5878.46,5840.25,5841.47,5841.47,3480010000
10/16/24,5816.58,5846.52,5808.34,5842.47,5842.47,3467230000
10/15/24,5866.74,5870.36,5804.48,5815.26,5815.26,3882120000
10/14/24,5829.81,5871.41,5829.57,5859.85,5859.85,3005250000
10/11/24,5775.09,5822.13,5775.09,5815.03,5815.03,3208720000
10/10/24,5778.36,5795.03,5764.76,5780.05,5780.05,3208790000
10/9/24,5751.80,5796.80,5745.02,5792.04,5792.04,3650340000
10/8/24,5719.14,5757.60,5714.56,5751.13,5751.13,3393400000
10/7/24,5737.80,5739.34,5686.85,5695.94,5695.94,3637790000
10/4/24,5737.48,5753.21,5702.83,5751.07,5751.07,3479400000
10/3/24,5698.19,5718.78,5677.37,5699.94,5699.94,3597450000
10/2/24,5698.14,5719.63,5674.00,5709.54,5709.54,3829050000
10/1/24,5757.73,5757.73,5681.28,5708.75,5708.75,4025180000
9/30/24,5726.52,5765.14,5703.53,5762.48,5762.48,4425730000
9/27/24,5755.36,5763.78,5727.34,5738.17,5738.17,3898530000
9/26/24,5762.22,5767.37,5721.01,5745.37,5745.37,4391180000
9/25/24,5733.65,5741.03,5712.06,5722.26,5722.26,3624910000
9/24/24,5727.66,5735.32,5698.99,5732.93,5732.93,3872710000
9/23/24,5711.90,5725.36,5704.22,5718.57,5718.57,3529550000
9/20/24,5709.64,5715.14,5674.49,5702.55,5702.55,7867260000
9/19/24,5702.63,5733.57,5686.42,5713.64,5713.64,4024530000
9/18/24,5641.68,5689.75,5615.08,5618.26,5618.26,3691390000
9/17/24,5655.51,5670.81,5614.05,5634.58,5634.58,3443600000
9/16/24,5615.21,5636.05,5604.53,5633.09,5633.09,3437070000
9/13/24,5603.34,5636.27,5601.65,5626.02,5626.02,3500790000
9/12/24,5557.48,5600.71,5535.50,5595.76,5595.76,3655070000
9/11/24,5496.42,5560.41,5406.96,5554.13,5554.13,3839450000
9/10/24,5490.51,5497.91,5441.72,5495.52,5495.52,3848180000
9/9/24,5442.07,5484.20,5434.49,5471.05,5471.05,3825940000
9/6/24,5507.33,5522.47,5402.62,5408.42,5408.42,3822800000
